"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 03-Feb-2022 from archive dated 04-Feb-2022 10:40:45    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   "
" mole (ppm), reported on the 2012 SIO manometric mole fraction scale.  This is the        "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1958, 01,   21200, 1958.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1958, 02,   21231, 1958.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1958, 03,   21259, 1958.2027,   315.71,   314.43,     316.20,   314.91,     315.71,   314.43
1958, 04,   21290, 1958.2877,   317.45,   315.16,     317.30,   314.99,     317.45,   315.16
1958, 05,   21320, 1958.3699,   317.51,   314.71,     317.87,   315.07,     317.51,   314.71
1958, 06,   21351, 1958.4548,   -99.99,   -99.99,     317.25,   315.15,     317.25,   315.15
1958, 07,   21381, 1958.5370,   315.86,   315.20,     315.86,   315.22,     315.86,   315.20
1958, 08,   21412, 1958.6219,   314.93,   316.20,     313.98,   315.29,     314.93,   316.20
1958, 09,   21443, 1958.7068,   313.21,   316.09,     312.45,   315.35,     313.21,   316.09
1958, 10,   21473, 1958.7890,   -99.99,   -99.99,     312.44,   315.41,     312.44,   315.41
1958, 11,   21504, 1958.8740,   313.33,   315.20,     313.61,   315.46,     313.33,   315.20
1958, 12,   21534, 1958.9562,   314.67,   315.43,     314.76,   315.51,     314.67,   315.43
1959, 01,   21565, 1959.0411,   315.58,   315.53,     315.63,   315.57,     315.58,   315.53
1959, 02,   21596, 1959.1260,   316.49,   315.85,     316.28,   315.63,     316.49,   315.85
1959, 03,   21624, 1959.2027,   316.65,   315.37,     316.99,   315.69,     316.65,   315.37
1959, 04,   21655, 1959.2877,   317.72,   315.41,     318.09,   315.77,     317.72,   315.41
1959, 05,   21685, 1959.3699,   318.29,   315.48,     318.66,   315.85,     318.29,   315.48
1959, 06,   21716, 1959.4548,   318.15,   316.02,     318.05,   315.94,     318.15,   316.02
1959, 07,   21746, 1959.5370,   316.54,   315.87,     316.67,   316.03,     316.54,   315.87
1959, 08,   21777, 1959.6219,   314.80,   316.08,     314.81,   316.12,     314.80,   316.08
1959, 09,   21808, 1959.7068,   313.84,   316.73,     313.31,   316.22,     313.84,   316.73
1959, 10,   21838, 1959.7890,   313.34,   316.32,     313.33,   316.31,     313.34,   316.32
1959, 11,   21869, 1959.8740,   314.81,   316.69,     314.54,   316.39,     314.81,   316.69
1959, 12,   21899, 1959.9562,   315.58,   316.35,     315.72,   316.47,     315.58,   316.35
1960, 01,   21930, 1960.0410,   316.43,   316.38,     316.62,   316.56,     316.43,   316.38
1960, 02,   21961, 1960.1257,   316.98,   316.34,     317.28,   316.64,     316.98,   316.34
1960, 03,   21990, 1960.2049,   317.58,   316.27,     318.03,   316.71,     317.58,   316.27
